label1,Freq1,img_train,img_test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,inputText,testText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
lenoga,high,Stims/p0.bmp,,0,0,0,0,,,,,lengo,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
lamupo,low,Stims/p9.bmp,,0,1,1,25,,,,,lamupo,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
kugowi,low,Stims/pp1.bmp,,0,2,2,26,,,,,kugowi,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
nowahi,high,Stims/p3.bmp,,0,3,3,12,,,,,nowahi,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
gahemi,high,Stims/p2.bmp,,0,4,4,8,,,,,gahemi,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
hekipo,med,Stims/p5.bmp,,0,5,5,18,,,,,hekipo,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
howine,med,Stims/p7.bmp,,0,6,6,22,,,,,howine,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
mipuwe,high,Stims/p4.bmp,,0,7,7,17,,,,,mipuwe,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
lenoga,high,Stims/p0.bmp,,0,8,8,1,,,,,lenoga,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
lenoga,high,Stims/p0.bmp,,0,9,9,3,,,,,lenoga,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
kilonu,high,Stims/p1.bmp,,0,10,10,5,,,,,kilonu,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
gulika,med,Stims/p6.bmp,,0,11,11,21,,,,,gulika,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
kilonu,high,Stims/p1.bmp,,0,12,12,4,,,,,kilonu,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
womeku,low,Stims/p8.bmp,,0,13,13,24,,,,,womeku,,,,2018_Aug_19_1607,59.7499629617,Artificial_language_learning,001,1,
