label1,Freq1,img_train,img_test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,inputText,testText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
mipuwe,high,Stims/p4.bmp,,0,0,0,16,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
nowahi,high,Stims/p3.bmp,,0,1,1,14,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
gahemi,high,Stims/p2.bmp,,0,2,2,10,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
gulika,med,Stims/p6.bmp,,0,3,3,21,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
hekipo,med,Stims/p5.bmp,,0,4,4,18,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
lamupo,low,Stims/p9.bmp,,0,5,5,25,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
lenoga,high,Stims/p0.bmp,,0,6,6,0,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
womeku,low,Stims/p8.bmp,,0,7,7,24,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
gahemi,high,Stims/p2.bmp,,0,8,8,11,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
kilonu,high,Stims/p1.bmp,,0,9,9,5,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
gahemi,high,Stims/p2.bmp,,0,10,10,8,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
lenoga,high,Stims/p0.bmp,,0,11,11,3,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
kilonu,high,Stims/p1.bmp,,0,12,12,7,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
lenoga,high,Stims/p0.bmp,,0,13,13,1,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
nowahi,high,Stims/p3.bmp,,0,14,14,12,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
kugowi,low,Stims/pp1.bmp,,0,15,15,26,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
nowahi,high,Stims/p3.bmp,,0,16,16,15,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
lenoga,high,Stims/p0.bmp,,0,17,17,2,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
mipuwe,high,Stims/p4.bmp,,0,18,18,17,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
kilonu,high,Stims/p1.bmp,,0,19,19,4,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
gahemi,high,Stims/p2.bmp,,0,20,20,9,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
howine,med,Stims/p7.bmp,,0,21,21,23,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
hekipo,med,Stims/p5.bmp,,0,22,22,19,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
gulika,med,Stims/p6.bmp,,0,23,23,20,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
pigalo,low,Stims/pp2.bmp,,0,24,24,27,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
howine,med,Stims/p7.bmp,,0,25,25,22,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
nowahi,high,Stims/p3.bmp,,0,26,26,13,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
kilonu,high,Stims/p1.bmp,,0,27,27,6,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
kilonu,high,Stims/p1.bmp,,1,0,28,6,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
lenoga,high,Stims/p0.bmp,,1,1,29,2,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
hekipo,med,Stims/p5.bmp,,1,2,30,18,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
nowahi,high,Stims/p3.bmp,,1,3,31,14,,,,,,,,,2018_Aug_19_1302,59.6399396534,Artificial_language_learning,001,,
